,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
2,cardano,0.2346885224027451,2018-06,8,9703880594,207206353.91648605
3,dogecoin,0.0038416898912381,2018-06,9,9570634976,27810258.513960883
4,ethereum,615.5896376860638,2018-06,2,216248925643,4948602297.466697
5,litecoin,125.735913827438,2018-06,14,5560929330,462395704.5663252
6,ripple,0.7023666248869402,2018-06,5,31159527172,530546406.80956393
7,tether,1.0084165197489616,2018-06,3,82933060919,3243798.5216922127
8,tron,0.0629553723274704,2018-06,11,6664436601,474150628.8923124
0,binancecoin,14.748950956941808,2018-07,4,35594621093,101091546.0517994
2,cardano,0.1933027926315923,2018-07,8,9703880594,366920690.855836
3,dogecoin,0.0043604115306588,2018-07,9,9570634976,48945315.09473524
4,ethereum,504.82206846040935,2018-07,2,216248925643,16715348244.61249
5,litecoin,92.76902464575954,2018-07,14,5560929330,1052444012.3507408
6,ripple,0.5171331402520493,2018-07,5,31159527172,449015329.3344448
7,tether,1.506833289717,2018-07,3,82933060919,5459943.482238155
8,tron,0.0427295254350581,2018-07,11,6664436601,357414047.7530137
0,binancecoin,14.407070092844874,2018-08,4,35576681972,96404859.8167131
2,cardano,0.1433881341067918,2018-08,8,9700102061,172217354.7508124
3,dogecoin,0.0034436882737125,2018-08,9,9559653503,49099404.66073871
4,ethereum,426.3790770965291,2018-08,2,216248925643,5863901510.473671
5,litecoin,78.47289398319981,2018-08,14,5557105592,781422831.7761673
6,ripple,0.4554783261070504,2018-08,5,31120826419,611583736.9048194
7,tether,1.1572943864697842,2018-08,3,82933060919,247867056.88801265
8,tron,0.0337240242178056,2018-08,11,6671990729,220074522.4595768
0,binancecoin,11.50231542280303,2018-09,4,35576681972,38690643.84936118
2,cardano,0.108729890022697,2018-09,8,9700102061,264730322.78827
3,dogecoin,0.0069060289716657,2018-09,9,9559653503,304345761.67785776
4,ethereum,301.63630310176205,2018-09,2,216090063973,4667562483.229759
5,litecoin,68.78345963926607,2018-09,14,5557105592,741821884.4970549
6,ripple,0.6508219907921146,2018-09,5,31120826419,5120674864.344152
7,tether,1.0118293148672852,2018-09,3,82923630542,234736263.67841232
8,tron,0.0270013451376798,2018-09,11,6671990729,297964562.1445224
0,binancecoin,10.693378622680164,2018-10,4,35576681972,52066522.42767257
2,cardano,0.0876860914656959,2018-10,8,9700102061,88986039.31191741
3,dogecoin,0.0060270485735665,2018-10,9,9559653503,105308028.4099687
4,ethereum,233.7407712921965,2018-10,2,216090063973,3020634939.364894
5,litecoin,61.76583902580393,2018-10,14,5557105592,802687101.1961529
6,ripple,0.5975467716674767,2018-10,5,31120826419,1437175507.2261791
7,tether,1.0035493711000734,2018-10,3,82923630542,265278198.63172296
8,tron,0.0276420450855141,2018-10,11,6671990729,436463476.5419624
